file	model	alpha	rate	ci_lower	ci_upper	n_variants
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.00880981171186734	0.00640258991600452	0.0112170335077301	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.000863707030575229	0.000106961453521839	0.00162045260762862	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0445672827776818	0.0392515587096569	0.0498830068457067	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.00742788046294697	0.00521596876408651	0.00963979216180742	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.00103644843669027	0.000207546854995173	0.00186535001838538	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.045085506996027	0.0397404170495345	0.0504305969425194	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.00708239765071688	0.0049221623677624	0.00924263293367136	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.000863707030575229	0.000106961453521839	0.00162045260762862	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.052686128865089	0.0469310750407565	0.0584411826894214	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.0108827085852479	0.00821003024814654	0.0135553869223492	5789
